Search;100;200;300;400;500;600;700;800;900;1000;1100;1200;1300;1400;1500;1600;1700;1800;1900;2000;2100;2200;2300;2400;2500;2600;2700;2800;2900;3000
NaiveSearch_1_wildcards;952371;956007;941259;949687;1060383;1005356;904269;981607;936954;955868;942420;886412;924707;933716;936437;940019;936675;935389;931011;934980;881902;927751;935354;885704;868423;870370;917979;883072;919524;934438
NaiveSearch_2_wildcards;949030;944660;942565;941777;955149;932559;939686;900141;957604;1028305;876974;947631;884376;941439;887657;947208;935402;927178;928262;923729;876125;938566;924751;922245;923245;874331;880355;927200;923741;928732
NaiveSearch_3_wildcards;870556;934752;933551;887281;885688;871605;932967;930524;932927;929201;930096;927244;938085;927782;932832;932933;935560;926119;923607;919650;868389;925313;920111;932738;937350;936069;928418;926437;916141;912653
NaiveSearch_4_wildcards;922976;928423;948349;942408;959128;936818;880543;936527;915682;934165;942335;935776;931055;934796;935125;925223;926435;867212;881523;927227;879152;933726;923758;879213;921549;923945;928324;927247;925103;925719
SimpleKmpSearch_1_wildcards;871348;872944;775672;873089;858986;873681;798031;874356;878361;794819;873566;879743;868593;793522;895466;881388;806282;899252;813389;901454;897710;897462;888775;896666;897056;819889;874519;890405;835540;923532
SimpleKmpSearch_2_wildcards;815512;874186;865794;874975;855152;863293;886491;796646;806976;877556;873320;811540;812224;883342;874174;882762;881457;890969;794834;887457;878974;887673;817068;895300;888885;882558;901792;919327;915987;898404
SimpleKmpSearch_3_wildcards;868960;851122;794069;851796;862025;798828;801805;884137;872196;877280;886887;884531;790438;807727;863713;877253;872445;809542;887447;895148;799635;885260;820841;879842;1008552;925602;1001150;1032716;1040725;1054055
SimpleKmpSearch_4_wildcards;978745;966389;999510;872627;876140;936567;805670;912636;890946;890895;877992;810562;810069;878575;869005;801457;903969;898136;833028;819939;897945;890573;918332;919047;908771;843012;917733;947793;993799;988065
AdvancedKmpSearch_1_wildcards;906658;886638;881525;849663;856117;861342;845612;774095;806312;873667;882770;820548;885152;787786;885469;887212;899830;962640;980775;945450;923987;964108;914123;915485;867388;914283;1027563;958497;984084;925750
AdvancedKmpSearch_2_wildcards;870042;822093;794567;805919;866573;861073;865557;807552;857641;867487;876702;854270;877443;818562;866052;878187;894085;792332;978021;940498;835720;816566;858334;948976;927775;891216;926748;908042;919975;946851
AdvancedKmpSearch_3_wildcards;801638;792589;795212;797143;869902;805988;773075;774006;855637;867694;870769;826161;821155;841888;1064856;940864;948717;927949;969630;986062;988832;922380;973343;984713;921014;943349;937291;930567;965854;875972
AdvancedKmpSearch_4_wildcards;796597;860403;864651;867356;805041;987251;1369015;965338;1003107;1113245;1059836;1018964;997593;979808;919892;996994;1008395;980333;949322;910378;934596;914515;875767;938879;943479;974323;1006473;984100;943119;923440
